Train Error- 0.003298	 Test Error - 0.000490
Train Error- 0.003800	 Test Error - 0.004722
Train Error- 0.004389	 Test Error - 0.003517
Train Error- 0.012432	 Test Error - 0.019935
Train Error- 0.017854	 Test Error - 0.013053
Train Error- 0.018094	 Test Error - 0.036696
Train Error- 0.000624	 Test Error - 0.000707
Train Error- 0.000356	 Test Error - 0.000723
Train Error- 0.000237	 Test Error - 0.000761
Train Error- 0.000161	 Test Error - 0.000278
Train Error- 0.000358	 Test Error - 0.000328
Train Error- 0.000158	 Test Error - 0.000420
Train Error- 0.000204	 Test Error - 0.000186
Train Error- 0.000130	 Test Error - 0.000172
Train Error- 0.000107	 Test Error - 0.000119
Train Error- 0.000168	 Test Error - 0.000234
Train Error- 0.000118	 Test Error - 0.000088
Train Error- 0.000096	 Test Error - 0.000115
